Y,score_AHP_Combinado,score_Indices
0,0.42076308999999995,0.406572
0,0.43037569,0.444721
0,0.36580849,0.368893
0,0.43874049,0.4180230000000001
0,0.50328504,0.492213
0,0.52026049,0.514023
0,0.51092049,0.502023
0,0.45912503999999993,0.44421299999999997
0,0.31804048999999995,0.31402300000000005
0,0.44288146000000006,0.43329500000000004
0,0.47700605,0.47724500000000003
0,0.37298066,0.356303
0,0.6530741699999999,0.648842
0,0.5136060499999999,0.49524500000000005
0,0.45454933999999986,0.4384410000000001
0,0.6281085599999999,0.573571
0,0.66122856,0.6095710000000001
0,0.53205169,0.5204610000000001
0,0.46379503999999994,0.45021300000000003
0,0.37494503999999995,0.37621299999999996
0,0.33375049,0.332023
0,0.51729504,0.510213
0,0.48927504,0.474213
0,0.40499232999999996,0.391551
0,0.36731414,0.36859300000000006
0,0.40043413999999994,0.4045930000000001
0,0.4601923299999999,0.45155100000000004
0,0.5125121399999999,0.479463
0,0.51899049,0.508023
0,0.31125712999999994,0.30285299999999993
0,0.43918413999999995,0.4185930000000001
0,0.33503712999999996,0.32685299999999995
0,0.39854232999999994,0.403551
0,0.5188228599999999,0.4918890000000001
0,0.49157406000000003,0.4878440000000001
0,0.36970309,0.37457199999999996
0,0.50255522,0.48868700000000015
0,0.42830406,0.42184400000000005
0,0.50458684,0.519072
0,0.5347951700000001,0.526466
0,0.49921406000000007,0.499844
0,0.5601361300000001,0.557244
0,0.5085968399999999,0.47907200000000005
0,0.41478417,0.408842
0,0.41910146,0.409295
0,0.4533884899999999,0.4368930000000001
0,0.45622832,0.45044300000000004
0,0.37270925000000005,0.388386
0,0.5497868399999999,0.5210720000000001
0,0.39121684000000007,0.3930720000000001
0,0.55794988,0.5337440000000001
0,0.6866234499999998,0.6919460000000001
0,0.3803980599999999,0.400587
0,0.34452786,0.340864
0,0.5568172800000001,0.5271950000000001
0,0.30447853,0.31167
0,0.52343947,0.5019920000000001
0,0.47579492000000007,0.46980200000000005
0,0.41252947,0.40599199999999996
0,0.42377807,0.42133099999999996
0,0.42216406999999995,0.4110710000000001
0,0.46199807,0.457331
0,0.33299287000000005,0.33663299999999996
0,0.30966947,0.313992
0,0.30180352,0.309141
0,0.46199807,0.457331
0,0.5194695199999999,0.504881
0,0.5301883199999999,0.516443
0,0.40035480999999995,0.389603
0,0.5916209199999999,0.582992
0,0.33722832,0.346443
0,0.5345726599999999,0.5177329999999999
0,0.41404361,0.40716499999999994
0,0.34264085,0.35339699999999996
0,0.5547108499999999,0.5413970000000001
0,0.5362660499999999,0.5280950000000001
0,0.48847084999999996,0.4693970000000001
0,0.44890084999999996,0.4453970000000001
0,0.38314665000000003,0.371837
0,0.43956085,0.4333970000000001
0,0.49654085000000003,0.475397
0,0.54042522,0.512687
0,0.50816621,0.515714
0,0.49720621000000004,0.48571400000000015
0,0.49983727999999994,0.4851950000000001
0,0.45276264999999993,0.45307699999999995
0,0.47348361,0.47916499999999995
0,0.47801621,0.48571400000000003
0,0.37656361000000005,0.399165
0,0.42160184999999994,0.418535
0,0.45140361,0.45516499999999993
0,0.48806589,0.49300700000000003
0,0.39416180999999995,0.39623700000000006
0,0.5844558899999999,0.595007
0,0.5195658899999999,0.5110070000000001
0,0.5246658899999999,0.5110070000000001
0,0.6828809999999998,0.6362650000000001
0,0.44341049,0.4240230000000001
0,0.69666631,0.6476620000000001
0,0.45275048999999995,0.4360230000000001
0,0.730011,0.6902650000000001
0,0.6537497099999999,0.5983030000000001
0,0.36991857,0.39837200000000006
0,0.54213266,0.5477329999999999
0,0.47589266,0.475733
0,0.41613146,0.4032950000000001
0,0.38301146,0.367295
0,0.57454185,0.568535
0,0.50145266,0.4817330000000001
0,0.49650360999999993,0.47316500000000006
0,0.43948146,0.43329500000000004
0,0.49638146,0.4932950000000001
0,0.43261464999999993,0.426707
0,0.57841146,0.5652949999999999
0,0.41796665,0.407837
